algorithm_name,number_of_vertexes,number_of_edges,execution_time
Алгоритм Дейкстры,10,46,48710
Алгоритм Дейкстры,60,1771,405402
Алгоритм Дейкстры,110,5996,1.33833e+06
Алгоритм Дейкстры,160,12720,2.47016e+06
Алгоритм Дейкстры,210,21945,4.73037e+06
Алгоритм Дейкстры,260,33671,6.46334e+06
Алгоритм Дейкстры,310,47895,9.30508e+06
Алгоритм Дейкстры,360,64621,1.29188e+07
Алгоритм Дейкстры,410,83845,1.66484e+07
Алгоритм Дейкстры,460,105570,1.98371e+07
Алгоритм Дейкстры,510,129795,2.49736e+07
Алгоритм Дейкстры,560,156520,2.91746e+07
Алгоритм Дейкстры,610,185746,3.71044e+07
Алгоритм Дейкстры,660,217471,4.17607e+07
Алгоритм Дейкстры,710,251696,4.87789e+07
Алгоритм Дейкстры,760,288421,5.5143e+07
Алгоритм Дейкстры,810,327646,6.40599e+07
Алгоритм Дейкстры,860,369371,7.34357e+07
Алгоритм Дейкстры,910,413595,7.80593e+07
Алгоритм Дейкстры,960,460320,9.05803e+07
Алгоритм Дейкстры,1010,509546,9.82037e+07
Алгоритм Беллмана-Форда,10,46,65581
Алгоритм Беллмана-Форда,60,1771,4.47182e+06
Алгоритм Беллмана-Форда,110,5996,2.77687e+07
Алгоритм Беллмана-Форда,160,12720,8.60391e+07
Алгоритм Беллмана-Форда,210,21945,1.93989e+08
Алгоритм Беллмана-Форда,260,33671,3.69582e+08
Алгоритм Беллмана-Форда,310,47895,6.2504e+08
Алгоритм Беллмана-Форда,360,64621,1.13437e+09
Алгоритм Беллмана-Форда,410,83845,1.47093e+09
Алгоритм Беллмана-Форда,460,105570,2.05465e+09
Алгоритм Беллмана-Форда,510,129795,2.85231e+09
Алгоритм Беллмана-Форда,560,156520,3.74013e+09
Алгоритм Беллмана-Форда,610,185746,4.81119e+09
Алгоритм Беллмана-Форда,660,217471,6.11638e+09
Алгоритм Беллмана-Форда,710,251696,7.49882e+09
Алгоритм Беллмана-Форда,760,288421,9.21241e+09
Алгоритм Беллмана-Форда,810,327646,1.11773e+10
Алгоритм Беллмана-Форда,860,369371,1.37262e+10
Алгоритм Беллмана-Форда,910,413595,1.6095e+10
Алгоритм Беллмана-Форда,960,460320,1.87265e+10
Алгоритм Беллмана-Форда,1010,509546,2.22599e+10
Алгоритм Флойда-Уоршелла,10,46,148760
Алгоритм Флойда-Уоршелла,60,1771,5.90475e+06
Алгоритм Флойда-Уоршелла,110,5996,3.35369e+07
Алгоритм Флойда-Уоршелла,160,12720,1.00194e+08
Алгоритм Флойда-Уоршелла,210,21945,2.30152e+08
Алгоритм Флойда-Уоршелла,260,33671,4.15549e+08
Алгоритм Флойда-Уоршелла,310,47895,8.67182e+08
Алгоритм Флойда-Уоршелла,360,64621,1.17254e+09
Алгоритм Флойда-Уоршелла,410,83845,1.98553e+09
Алгоритм Флойда-Уоршелла,460,105570,2.36674e+09
Алгоритм Флойда-Уоршелла,510,129795,3.25356e+09
Алгоритм Флойда-Уоршелла,560,156520,4.14926e+09
Алгоритм Флойда-Уоршелла,610,185746,5.33338e+09
Алгоритм Флойда-Уоршелла,660,217471,6.75518e+09
Алгоритм Флойда-Уоршелла,710,251696,8.51525e+09
Алгоритм Флойда-Уоршелла,760,288421,1.12771e+10
Алгоритм Флойда-Уоршелла,810,327646,1.32554e+10
Алгоритм Флойда-Уоршелла,860,369371,1.54614e+10
Алгоритм Флойда-Уоршелла,910,413595,1.85639e+10
Алгоритм Флойда-Уоршелла,960,460320,2.15769e+10
Алгоритм Флойда-Уоршелла,1010,509546,2.51984e+10
Алгоритм Джонсона,10,46,67030
Алгоритм Джонсона,60,1771,5.77784e+06
Алгоритм Джонсона,110,5996,3.31104e+07
Алгоритм Джонсона,160,12720,1.11099e+08
Алгоритм Джонсона,210,21945,2.39956e+08
Алгоритм Джонсона,260,33671,4.46685e+08
Алгоритм Джонсона,310,47895,7.24726e+08
Алгоритм Джонсона,360,64621,1.1449e+09
Алгоритм Джонсона,410,83845,1.70052e+09
Алгоритм Джонсона,460,105570,2.43239e+09
Алгоритм Джонсона,510,129795,3.243e+09
Алгоритм Джонсона,560,156520,4.17865e+09
Алгоритм Джонсона,610,185746,5.37127e+09
Алгоритм Джонсона,660,217471,6.7226e+09
Алгоритм Джонсона,710,251696,8.34223e+09
Алгоритм Джонсона,760,288421,1.03474e+10
Алгоритм Джонсона,810,327646,1.25083e+10
Алгоритм Джонсона,860,369371,1.50857e+10
Алгоритм Джонсона,910,413595,1.78458e+10
Алгоритм Джонсона,960,460320,2.08358e+10
Алгоритм Джонсона,1010,509546,2.44313e+10
