algorithm_name,number_of_vertexes,number_of_edges,execution_time
Алгоритм Дейкстры,10,90,173843
Алгоритм Дейкстры,60,3540,1.46392e+06
Алгоритм Дейкстры,110,11990,4.52572e+06
Алгоритм Дейкстры,160,25440,1.21175e+07
Алгоритм Дейкстры,210,43890,2.3189e+07
Алгоритм Дейкстры,260,67340,2.89118e+07
Алгоритм Дейкстры,310,95790,3.68395e+07
Алгоритм Дейкстры,360,129240,4.67295e+07
Алгоритм Дейкстры,410,167690,6.32384e+07
Алгоритм Дейкстры,460,211140,6.66955e+07
Алгоритм Дейкстры,510,259590,9.28456e+07
Алгоритм Дейкстры,560,313040,1.01628e+08
Алгоритм Дейкстры,610,371490,1.36451e+08
Алгоритм Дейкстры,660,434940,1.69114e+08
Алгоритм Дейкстры,710,503390,1.78887e+08
Алгоритм Дейкстры,760,576840,2.16368e+08
Алгоритм Дейкстры,810,655290,2.37683e+08
Алгоритм Дейкстры,860,738740,2.48238e+08
Алгоритм Дейкстры,910,827190,2.92479e+08
Алгоритм Дейкстры,960,920640,3.02415e+08
Алгоритм Дейкстры,1010,1019090,3.49077e+08
Алгоритм Беллмана-Форда,10,90,154557
Алгоритм Беллмана-Форда,60,3540,1.67997e+07
Алгоритм Беллмана-Форда,110,11990,1.01885e+08
Алгоритм Беллмана-Форда,160,25440,3.12125e+08
Алгоритм Беллмана-Форда,210,43890,6.9575e+08
Алгоритм Беллмана-Форда,260,67340,1.32566e+09
Алгоритм Беллмана-Форда,310,95790,2.24696e+09
Алгоритм Беллмана-Форда,360,129240,3.50643e+09
Алгоритм Беллмана-Форда,410,167690,4.992e+09
Алгоритм Беллмана-Форда,460,211140,7.13519e+09
Алгоритм Беллмана-Форда,510,259590,9.83338e+09
Алгоритм Беллмана-Форда,560,313040,1.30215e+10
Алгоритм Беллмана-Форда,610,371490,1.75319e+10
Алгоритм Беллмана-Форда,660,434940,2.20514e+10
Алгоритм Беллмана-Форда,710,503390,2.70376e+10
Алгоритм Беллмана-Форда,760,576840,3.40419e+10
Алгоритм Беллмана-Форда,810,655290,4.18403e+10
Алгоритм Беллмана-Форда,860,738740,5.25194e+10
Алгоритм Беллмана-Форда,910,827190,5.61623e+10
Алгоритм Беллмана-Форда,960,920640,6.46673e+10
Алгоритм Беллмана-Форда,1010,1019090,7.51176e+10
Алгоритм Флойда-Уоршелла,10,90,193851
Алгоритм Флойда-Уоршелла,60,3540,1.64061e+07
Алгоритм Флойда-Уоршелла,110,11990,8.54849e+07
Алгоритм Флойда-Уоршелла,160,25440,2.63521e+08
Алгоритм Флойда-Уоршелла,210,43890,5.89364e+08
Алгоритм Флойда-Уоршелла,260,67340,1.11168e+09
Алгоритм Флойда-Уоршелла,310,95790,1.89213e+09
Алгоритм Флойда-Уоршелла,360,129240,2.9626e+09
Алгоритм Флойда-Уоршелла,410,167690,4.4393e+09
Алгоритм Флойда-Уоршелла,460,211140,7.13796e+09
Алгоритм Флойда-Уоршелла,510,259590,8.29785e+09
Алгоритм Флойда-Уоршелла,560,313040,1.09592e+10
Алгоритм Флойда-Уоршелла,610,371490,1.43722e+10
Алгоритм Флойда-Уоршелла,660,434940,1.806e+10
Алгоритм Флойда-Уоршелла,710,503390,2.23745e+10
Алгоритм Флойда-Уоршелла,760,576840,2.7894e+10
Алгоритм Флойда-Уоршелла,810,655290,3.30552e+10
Алгоритм Флойда-Уоршелла,860,738740,3.98668e+10
Алгоритм Флойда-Уоршелла,910,827190,4.68037e+10
Алгоритм Флойда-Уоршелла,960,920640,5.56269e+10
Алгоритм Флойда-Уоршелла,1010,1019090,6.47874e+10
Алгоритм Джонсона,10,90,340383
Алгоритм Джонсона,60,3540,1.62912e+07
Алгоритм Джонсона,110,11990,9.20026e+07
Алгоритм Джонсона,160,25440,2.6022e+08
Алгоритм Джонсона,210,43890,5.76466e+08
Алгоритм Джонсона,260,67340,1.1078e+09
Алгоритм Джонсона,310,95790,1.95536e+09
Алгоритм Джонсона,360,129240,3.42044e+09
Алгоритм Джонсона,410,167690,4.5199e+09
Алгоритм Джонсона,460,211140,6.7924e+09
Алгоритм Джонсона,510,259590,9.40692e+09
Алгоритм Джонсона,560,313040,1.21847e+10
Алгоритм Джонсона,610,371490,1.53873e+10
Алгоритм Джонсона,660,434940,1.81822e+10
Алгоритм Джонсона,710,503390,2.19557e+10
Алгоритм Джонсона,760,576840,2.74017e+10
Алгоритм Джонсона,810,655290,3.29964e+10
Алгоритм Джонсона,860,738740,3.97658e+10
Алгоритм Джонсона,910,827190,4.74054e+10
Алгоритм Джонсона,960,920640,5.75162e+10
Алгоритм Джонсона,1010,1019090,6.58516e+10
