algorithm_name,number_of_vertexes,number_of_edges,execution_time
Алгоритм Дейкстры,10,45,39490
Алгоритм Дейкстры,60,1770,96631
Алгоритм Дейкстры,110,5995,378901
Алгоритм Дейкстры,160,12720,489161
Алгоритм Дейкстры,210,21945,787672
Алгоритм Дейкстры,260,33670,1.16615e+06
Алгоритм Дейкстры,310,47895,1.63039e+06
Алгоритм Дейкстры,360,64620,2.12254e+06
Алгоритм Дейкстры,410,83845,2.71628e+06
Алгоритм Дейкстры,460,105570,3.31071e+06
Алгоритм Дейкстры,510,129795,4.19307e+06
Алгоритм Дейкстры,560,156520,5.09688e+06
Алгоритм Дейкстры,610,185745,5.95045e+06
Алгоритм Дейкстры,660,217470,7.00648e+06
Алгоритм Дейкстры,710,251695,7.63858e+06
Алгоритм Дейкстры,760,288420,9.44866e+06
Алгоритм Дейкстры,810,327645,9.86806e+06
Алгоритм Дейкстры,860,369370,1.10643e+07
Алгоритм Дейкстры,910,413595,1.22963e+07
Алгоритм Дейкстры,960,460320,1.37108e+07
Алгоритм Дейкстры,1010,509545,1.57699e+07
Алгоритм Беллмана-Форда,10,45,52120
Алгоритм Беллмана-Форда,60,1770,3.5118e+06
Алгоритм Беллмана-Форда,110,5995,2.13063e+07
Алгоритм Беллмана-Форда,160,12720,6.50703e+07
Алгоритм Беллмана-Форда,210,21945,1.40976e+08
Алгоритм Беллмана-Форда,260,33670,2.68962e+08
Алгоритм Беллмана-Форда,310,47895,4.71516e+08
Алгоритм Беллмана-Форда,360,64620,6.97973e+08
Алгоритм Беллмана-Форда,410,83845,1.02687e+09
Алгоритм Беллмана-Форда,460,105570,1.44613e+09
Алгоритм Беллмана-Форда,510,129795,1.96914e+09
Алгоритм Беллмана-Форда,560,156520,2.61855e+09
Алгоритм Беллмана-Форда,610,185745,3.37782e+09
Алгоритм Беллмана-Форда,660,217470,4.27493e+09
Алгоритм Беллмана-Форда,710,251695,5.33183e+09
Алгоритм Беллмана-Форда,760,288420,6.54749e+09
Алгоритм Беллмана-Форда,810,327645,7.94788e+09
Алгоритм Беллмана-Форда,860,369370,9.69343e+09
Алгоритм Беллмана-Форда,910,413595,1.14081e+10
Алгоритм Беллмана-Форда,960,460320,1.3288e+10
Алгоритм Беллмана-Форда,1010,509545,1.58737e+10
Алгоритм Флойда-Уоршелла,10,45,99161
Алгоритм Флойда-Уоршелла,60,1770,2.40109e+06
Алгоритм Флойда-Уоршелла,110,5995,1.41003e+07
Алгоритм Флойда-Уоршелла,160,12720,4.29482e+07
Алгоритм Флойда-Уоршелла,210,21945,9.62174e+07
Алгоритм Флойда-Уоршелла,260,33670,1.87703e+08
Алгоритм Флойда-Уоршелла,310,47895,3.29066e+08
Алгоритм Флойда-Уоршелла,360,64620,4.81955e+08
Алгоритм Флойда-Уоршелла,410,83845,7.42785e+08
Алгоритм Флойда-Уоршелла,460,105570,1.01891e+09
Алгоритм Флойда-Уоршелла,510,129795,1.39681e+09
Алгоритм Флойда-Уоршелла,560,156520,1.82264e+09
Алгоритм Флойда-Уоршелла,610,185745,2.35179e+09
Алгоритм Флойда-Уоршелла,660,217470,3.02899e+09
Алгоритм Флойда-Уоршелла,710,251695,3.75271e+09
Алгоритм Флойда-Уоршелла,760,288420,4.72689e+09
Алгоритм Флойда-Уоршелла,810,327645,5.52204e+09
Алгоритм Флойда-Уоршелла,860,369370,6.62245e+09
Алгоритм Флойда-Уоршелла,910,413595,7.82297e+09
Алгоритм Флойда-Уоршелла,960,460320,9.15614e+09
Алгоритм Флойда-Уоршелла,1010,509545,1.10907e+10
Алгоритм Джонсона,10,45,45400
Алгоритм Джонсона,60,1770,2.39518e+06
Алгоритм Джонсона,110,5995,1.42148e+07
Алгоритм Джонсона,160,12720,4.37345e+07
Алгоритм Джонсона,210,21945,1.08425e+08
Алгоритм Джонсона,260,33670,1.88922e+08
Алгоритм Джонсона,310,47895,3.18139e+08
Алгоритм Джонсона,360,64620,5.16416e+08
Алгоритм Джонсона,410,83845,7.6473e+08
Алгоритм Джонсона,460,105570,1.0403e+09
Алгоритм Джонсона,510,129795,1.41446e+09
Алгоритм Джонсона,560,156520,1.88367e+09
Алгоритм Джонсона,610,185745,2.48244e+09
Алгоритм Джонсона,660,217470,2.97741e+09
Алгоритм Джонсона,710,251695,3.72431e+09
Алгоритм Джонсона,760,288420,4.5892e+09
Алгоритм Джонсона,810,327645,5.48735e+09
Алгоритм Джонсона,860,369370,6.953e+09
Алгоритм Джонсона,910,413595,7.86179e+09
Алгоритм Джонсона,960,460320,9.69776e+09
Алгоритм Джонсона,1010,509545,1.2825e+10
